500	
583.33	0	303
584.34	0	222
585.34	0	132
586.34	0	198
587.36	0	203
588.36	0	155
589.38	0	160
593.28	0	239
594.30	0	155
597.26	0	256
597.32	0	248
599.33	0	503
599.40	0	195
600.34	0	256
600.40	0	182
601.40	0	186
602.30	0	625
602.39	0	218
603.30	0	286
604.31	0	186
607.30	0	232
608.32	0	181
609.26	0	317
609.32	0	405
610.32	0	212
612.37	0	139
613.38	0	174
614.39	0	139
615.40	0	304
616.19	0	10391
616.41	0	152
617.41	0	160
618.27	0	231
619.30	0	383
620.30	0	237
621.31	0	655
622.32	0	318
623.29	0	390
624.29	0	113
625.30	0	446
626.30	0	237
626.50	0	347
627.32	0	174
627.41	0	132
627.51	0	324
628.34	0	105
628.41	0	169
629.37	0	175
629.42	0	222
630.40	0	160
631.39	0	190
634.36	0	134
635.27	0	363
636.28	0	221
637.29	0	1129
638.29	0	417
638.41	0	99
639.29	0	281
639.43	0	213
640.29	0	162
640.43	0	150
641.29	0	240
641.43	0	156
642.30	0	96
642.43	0	184
642.50	0	455
643.30	0	236
643.44	0	190
643.51	0	543
644.31	0	138
644.44	0	164
644.51	0	928
645.31	0	151
645.46	0	250
645.52	0	621
646.46	0	186
646.52	0	168
647.48	0	1579
648.38	0	140
648.48	0	477
649.48	0	273
652.35	0	204
653.35	0	122
654.31	0	124
654.39	0	175
655.43	0	267
656.45	0	211
657.27	0	123
657.48	0	243
658.53	0	1274
659.48	0	278
659.53	0	758
660.38	0	92
660.48	0	120
660.54	0	231
661.49	0	1122
662.40	0	125
662.50	0	886
663.50	0	296
668.35	0	193
669.45	0	196
670.28	0	312
670.37	0	291
670.53	0	1446
671.29	0	202
671.37	0	192
671.48	0	436
671.54	0	1913
672.48	0	340
672.54	0	910
673.49	0	5281
674.33	0	129
674.50	0	1454
675.36	0	126
675.50	0	1200
676.51	0	567
677.42	0	117
677.51	0	230
679.47	0	98
680.46	0	169
681.46	0	126
682.46	0	166
683.50	0	158
684.33	0	135
684.51	0	189
685.51	0	355
686.35	0	138
686.50	0	137
686.55	0	238
687.51	0	3197
688.42	0	101
688.51	0	823
689.52	0	631
690.52	0	627
691.53	0	326
693.47	0	161
694.46	0	130
695.48	0	377
696.48	0	248
697.49	0	511
698.52	0	243
699.51	0	4971
700.42	0	1074
700.52	0	3867
701.53	0	1784
702.54	0	1526
703.54	0	354
704.54	0	270
705.52	0	167
706.49	0	214
707.50	0	211
708.50	0	86
709.49	0	542
710.50	0	270
711.51	0	376
712.52	0	212
713.53	0	431
714.53	0	633
715.58	0	3355
716.55	0	2835
717.54	0	1429
717.59	0	339
718.55	0	4786
719.48	0	485
719.55	0	2122
720.48	0	568
720.56	0	452
721.50	0	638
721.56	0	145
722.52	0	1212
723.52	0	1614
724.53	0	758
725.53	0	923
726.44	0	87
726.56	0	5262
727.55	0	1611
728.57	0	6371
729.57	0	3223
730.58	0	1273
731.52	0	253
731.58	0	616
732.55	0	142
733.50	0	952
734.50	0	564
735.51	0	520
736.52	0	490
737.52	0	1180
738.52	0	1915
739.53	0	1351
740.54	0	411
740.61	0	228
741.55	0	393
742.55	0	3890
743.48	0	195
743.56	0	1087
743.61	0	805
744.45	0	144
744.57	13	7223
745.50	0	1473
745.57	0	1909
746.54	0	2558
747.52	0	5495
747.58	0	918
748.43	0	142
748.53	0	1823
749.54	0	1049
750.56	0	5972
751.56	0	2111
752.57	0	1087
753.57	0	506
754.50	0	114
754.59	0	3045
755.59	0	1030
756.60	0	3436
757.50	0	103
757.61	0	921
758.52	0	222
758.61	0	500
759.52	0	536
759.58	0	322
760.53	0	846
761.35	0	178
761.53	0	1478
762.52	0	4070
763.53	0	4274
764.54	0	2083
765.54	0	2565
766.55	0	8503
767.56	0	4922
768.56	0	1828
769.57	0	758
770.52	0	725
770.58	0	1315
771.52	0	353
771.59	0	812
772.54	0	1223
772.60	0	1302
773.55	0	2008
774.56	0	7833
775.56	0	10644
776.57	0	4379
777.32	0	350
777.57	0	1021
778.59	0	1754
779.59	0	1841
780.60	0	793
781.59	0	559
782.53	0	245
782.62	0	1055
783.54	0	209
783.62	0	730
784.53	0	165
784.64	0	735
785.54	0	162
785.61	0	326
786.54	0	1252
787.37	0	164
787.55	0	793
788.55	0	4069
789.38	0	265
789.55	0	1620
790.39	0	286
790.55	0	14331
791.39	0	167
791.56	0	18255
791.68	0	297
792.56	0	6264
793.57	0	2099
794.58	0	2715
795.52	0	404
795.59	0	1685
796.52	0	321
796.59	0	406
797.54	0	395
797.60	0	302
797.66	0	976
798.55	0	381
798.66	0	7736
799.55	0	326
799.67	0	2333
800.56	0	256
800.67	0	1381
801.56	0	361
801.68	0	1059
802.57	0	365
803.34	0	327
803.57	0	501
804.57	0	500
805.36	0	445
805.56	0	288
806.36	0	307
806.56	0	367
807.36	0	251
807.56	0	253
807.67	0	310
808.54	0	405
808.68	0	2113
809.54	0	425
809.69	0	1407
810.54	0	662
810.69	0	1323
811.54	0	651
811.70	0	721
812.55	0	590
812.68	0	1151
813.55	0	259
813.68	0	1190
814.56	0	343
814.69	0	314
815.56	0	350
815.68	0	286
816.57	0	1013
817.50	0	129
817.57	0	885
818.58	0	1179
819.53	0	241
819.59	0	1249
820.53	0	303
820.59	0	270
821.54	0	308
821.60	0	278
822.55	0	427
822.61	0	365
823.55	0	396
823.62	0	228
823.67	0	429
824.51	0	376
824.56	0	342
824.68	0	3302
825.50	0	169
825.56	0	306
825.68	0	1843
826.53	0	205
826.69	0	6881
827.54	0	318
827.70	0	3733
